"Break","Dominant Swell","Dominant Height (m)","Dominant Period (s)","Dominant Direction","Meets Min Period","Avg Period All Swells"
"Grandview","Primary",0.66,4.2,266,"No",6.6
"Grandview","Primary",0.64,4.05,267,"No",6.6
"Grandview","Primary",0.62,3.95,268,"No",6.55
"Grandview","Primary",0.6,4.2,269,"No",6.55
"Grandview","Primary",0.56,4.95,269,"No",6.82
"Grandview","Primary",0.52,6.1,269,"No",7.22
"Grandview","Primary",0.48,7.7,269,"No",7.63
"Grandview","Primary",0.44,10.25,248,"No",8.07
"Ocean Beach","Primary",0.92,5.45,286,"No",5.58
"Ocean Beach","Primary",0.86,5.45,291,"No",5.45
"Ocean Beach","Primary",0.82,5.25,277,"No",5.45
"Ocean Beach","Primary",0.8,5,263,"No",5.52
"Ocean Beach","Primary",0.76,4.75,249,"No",5.55
"Ocean Beach","Primary",0.76,4.6,254,"No",5.42
"Ocean Beach","Primary",0.78,4.55,259,"No",5.25
"Ocean Beach","Primary",0.78,4.45,264,"No",5.28
"Ocean Beach","Primary",0.78,4.35,264,"No",5.73
"Ocean Beach","Primary",0.78,4.3,264,"No",6.38
"Ocean Beach","Primary",0.78,4.25,264,"No",6.87
"Ocean Beach","Primary",0.78,4.25,265,"No",7
"Ocean Beach","Primary",0.8,4.3,265,"No",6.95
"Ocean Beach","Primary",0.8,4.4,266,"No",6.92
"Ocean Beach","Primary",0.76,4.6,268,"No",7
"Ocean Beach","Primary",0.74,4.9,269,"No",7.1
"Ocean Beach","Primary",0.7,5.25,271,"No",7.18
"Ocean Beach","Primary",0.66,5.6,271,"No",7.22
"Ocean Beach","Primary",0.6,5.95,272,"No",7.22
"Ocean Beach","Primary",0.56,6.6,272,"No",7.32
"Ocean Beach","Primary",0.52,7.55,273,"No",7.62
"Ocean Beach","Primary",0.5,8.75,274,"No",8.02
"Ocean Beach","Primary",0.46,10.15,275,"Yes",8.37
"Ocean Beach","Primary",0.44,11.95,252,"Yes",8.62
"Oceanside Harbor","Primary",0.78,5.15,267,"No",7.1
"Oceanside Harbor","Primary",0.76,5.15,267,"No",6.93
"Oceanside Harbor","Primary",0.7,5.3,271,"No",6.28
"Oceanside Harbor","Primary",0.64,5.55,275,"No",5.43
"Oceanside Harbor","Primary",0.58,5.6,279,"No",5
"Oceanside Harbor","Primary",0.58,5.3,272,"No",5.45
"Oceanside Harbor","Primary",0.6,4.8,264,"No",6.3
"Oceanside Harbor","Primary",0.6,4.45,257,"No",6.9
"Oceanside Harbor","Primary",0.62,4.45,258,"No",6.95
"Oceanside Harbor","Primary",0.64,4.6,260,"No",6.7
"Oceanside Harbor","Primary",0.66,4.7,261,"No",6.48
"Oceanside Harbor","Primary",0.66,4.65,261,"No",6.43
"Oceanside Harbor","Primary",0.66,4.5,261,"No",6.38
"Oceanside Harbor","Primary",0.66,4.4,261,"No",6.37
"Oceanside Harbor","Primary",0.66,4.35,261,"No",6.35
"Oceanside Harbor","Primary",0.64,4.35,262,"No",6.33
"Oceanside Harbor","Primary",0.64,4.5,262,"No",6.42
"Oceanside Harbor","Primary",0.6,4.8,257,"No",6.63
"Oceanside Harbor","Primary",0.56,5.25,253,"No",6.93
"Oceanside Harbor","Primary",0.52,5.9,248,"No",7.17
"Oceanside Harbor","Primary",0.5,6.85,249,"No",7.37
"Oceanside Harbor","Primary",0.46,8.05,249,"No",7.55
"Oceanside Harbor","Primary",0.44,9.3,250,"No",7.73
"Oceanside Harbor","Primary",0.44,10.6,233,"No",7.93
"Oceanside Pier","Primary",0.78,5.15,267,"No",7.1
"Oceanside Pier","Primary",0.76,5.15,267,"No",6.93
"Oceanside Pier","Primary",0.7,5.3,271,"No",6.28
"Oceanside Pier","Primary",0.64,5.55,275,"No",5.43
"Oceanside Pier","Primary",0.58,5.6,279,"No",5
"Oceanside Pier","Primary",0.58,5.3,272,"No",5.45
"Oceanside Pier","Primary",0.6,4.8,264,"No",6.3
"Oceanside Pier","Primary",0.6,4.45,257,"No",6.9
"Oceanside Pier","Primary",0.62,4.45,258,"No",6.95
"Oceanside Pier","Primary",0.64,4.6,260,"No",6.7
"Oceanside Pier","Primary",0.66,4.7,261,"No",6.48
"Oceanside Pier","Primary",0.66,4.65,261,"No",6.43
"Oceanside Pier","Primary",0.66,4.5,261,"No",6.38
"Oceanside Pier","Primary",0.66,4.4,261,"No",6.37
"Oceanside Pier","Primary",0.66,4.35,261,"No",6.35
"Oceanside Pier","Primary",0.64,4.35,262,"No",6.33
"Oceanside Pier","Primary",0.64,4.5,262,"No",6.42
"Oceanside Pier","Primary",0.6,4.8,257,"No",6.63
"Oceanside Pier","Primary",0.56,5.25,253,"No",6.93
"Oceanside Pier","Primary",0.52,5.9,248,"No",7.17
"Oceanside Pier","Primary",0.5,6.85,249,"No",7.37
"Oceanside Pier","Primary",0.46,8.05,249,"No",7.55
"Oceanside Pier","Primary",0.44,9.3,250,"No",7.73
"Oceanside Pier","Primary",0.44,10.6,233,"No",7.93
"Pipes","Primary",0.74,4.8,268,"No",5.15
"Pipes","Primary",0.68,4.55,265,"No",4.67
"Pipes","Primary",0.64,4.4,264,"No",4.38
"Pipes","Primary",0.62,4.3,263,"No",4.18
"Pipes","Primary",0.58,4.3,262,"No",4.13
"Pipes","Primary",0.56,4.5,262,"No",4.28
