"Break","Days Out","Avg Predicted Rating","Avg Absolute Error","Forecast Count"
"Pipes",2.6,1.85,0.088,12
"Pipes",2.5,2.03,0.081,18
"Pipes",2.4,2.06,0.043,12
"Pipes",2.3,2.05,0.067,18
"Pipes",2.2,1.86,0.072,12
"Pipes",2.1,1.75,0.067,12
"Pipes",2,1.57,0.046,18
"Pipes",1.9,1.49,0.033,12
"Pipes",1.8,1.56,0.079,18
"Pipes",1.7,1.67,0.135,12
"Pipes",1.6,1.85,0.076,12
"Pipes",1.5,2,0.054,18
"Pipes",1.4,2.06,0.056,12
"Pipes",1.3,2.1,0.037,18
"Pipes",1.2,1.8,0.077,12
"Pipes",1.1,1.66,0.037,12
"Pipes",1,1.54,0.038,18
"Pipes",0.9,1.48,0.07,12
"Pipes",0.8,1.56,0.089,18
"Pipes",0.7,1.66,0.162,12
"Pipes",0.6,1.83,0.138,12
"Pipes",0.5,1.91,0.088,18
"Pipes",0.4,1.95,0.064,12
"Pipes",0.3,1.91,0.109,18
"Pipes",0.2,1.69,0.027,12
"Pipes",0.1,1.56,0,12
"Pipes",0,1.48,0,18
"Pipes",-0.1,1.3,0,10
"Pipes",-0.2,1.34,0,10
"Pipes",-0.3,1.53,0,15
"Pipes",-0.4,1.63,0,10
"Pipes",-0.5,1.78,0,15
"Pipes",-0.6,1.89,0,10
"Pipes",-0.7,1.92,0,10
"Pipes",-0.8,1.98,0,6
"Scripps Pier",7.9,1.58,0,2
"Scripps Pier",7.8,1.21,0,3
"Scripps Pier",7.7,1.17,0,2
"Scripps Pier",7.6,1.19,0,2
"Scripps Pier",7.5,1.25,0,3
"Scripps Pier",7.4,1.67,0,2
"Scripps Pier",7.3,1.7,0.055,4
"Scripps Pier",7.2,1.44,0.076,10
"Scripps Pier",7.1,1.42,0.091,12
"Scripps Pier",7,1.34,0.122,18
"Scripps Pier",6.9,1.35,0.144,12
"Scripps Pier",6.8,1.45,0.127,18
"Scripps Pier",6.7,1.53,0.083,12
"Scripps Pier",6.6,1.63,0.146,12
"Scripps Pier",6.5,1.66,0.086,18
"Scripps Pier",6.4,1.73,0.042,12
"Scripps Pier",6.3,1.69,0.055,18
"Scripps Pier",6.2,1.56,0.113,12
"Scripps Pier",6.1,1.46,0.124,12
"Scripps Pier",6,1.37,0.079,18
"Scripps Pier",5.9,1.33,0.071,12
"Scripps Pier",5.8,1.38,0.091,18
"Scripps Pier",5.7,1.44,0.12,12
"Scripps Pier",5.6,1.53,0.148,12
"Scripps Pier",5.5,1.61,0.161,18
"Scripps Pier",5.4,1.65,0.133,12
"Scripps Pier",5.3,1.61,0.106,18
"Scripps Pier",5.2,1.54,0.051,12
"Scripps Pier",5.1,1.49,0.11,12
"Scripps Pier",5,1.4,0.062,18
"Scripps Pier",4.9,1.36,0.063,12
"Scripps Pier",4.8,1.41,0.088,18
"Scripps Pier",4.7,1.53,0.072,12
"Scripps Pier",4.6,1.71,0.064,12
"Scripps Pier",4.5,1.75,0.043,18
"Scripps Pier",4.4,1.75,0.063,12
"Scripps Pier",4.3,1.72,0.057,18
"Scripps Pier",4.2,1.58,0.043,12
"Scripps Pier",4.1,1.54,0.023,12
"Scripps Pier",4,1.46,0.057,18
"Scripps Pier",3.9,1.46,0.036,12
"Scripps Pier",3.8,1.5,0.055,18
"Scripps Pier",3.7,1.6,0.077,12
"Scripps Pier",3.6,1.72,0.075,12
"Scripps Pier",3.5,1.78,0.087,18
"Scripps Pier",3.4,1.79,0.095,12
"Scripps Pier",3.3,1.82,0.063,18
"Scripps Pier",3.2,1.62,0.045,12
"Scripps Pier",3.1,1.52,0.02,12
"Scripps Pier",3,1.42,0.075,18
"Scripps Pier",2.9,1.4,0.088,12
"Scripps Pier",2.8,1.43,0.08,18
"Scripps Pier",2.7,1.62,0.096,12
"Scripps Pier",2.6,1.74,0.048,12
"Scripps Pier",2.5,1.84,0.085,18
"Scripps Pier",2.4,1.84,0.102,12
"Scripps Pier",2.3,1.87,0.067,18
"Scripps Pier",2.2,1.68,0.045,12
"Scripps Pier",2.1,1.57,0.027,12
"Scripps Pier",2,1.47,0.059,18
"Scripps Pier",1.9,1.36,0.123,12
"Scripps Pier",1.8,1.44,0.084,18
"Scripps Pier",1.7,1.58,0.079,12
"Scripps Pier",1.6,1.74,0.047,12
"Scripps Pier",1.5,1.88,0.063,18
"Scripps Pier",1.4,1.85,0.111,12
"Scripps Pier",1.3,1.84,0.088,18
"Scripps Pier",1.2,1.66,0.058,12
"Scripps Pier",1.1,1.59,0.033,12
"Scripps Pier",1,1.5,0.041,18
"Scripps Pier",0.9,1.44,0.07,12
"Scripps Pier",0.8,1.47,0.066,18
"Scripps Pier",0.7,1.59,0.071,12
"Scripps Pier",0.6,1.79,0.078,12
"Scripps Pier",0.5,1.85,0.057,18
"Scripps Pier",0.4,1.81,0.094,12
"Scripps Pier",0.3,1.76,0.124,18
"Scripps Pier",0.2,1.62,0.058,12
"Scripps Pier",0.1,1.52,0,12
"Scripps Pier",0,1.44,0,18
"Scripps Pier",-0.1,1.32,0,10
"Scripps Pier",-0.2,1.32,0,10
"Scripps Pier",-0.3,1.51,0,15
"Scripps Pier",-0.4,1.63,0,10
"Scripps Pier",-0.5,1.7,0,15
"Scripps Pier",-0.6,1.78,0,10
"Scripps Pier",-0.7,1.78,0,10
"Scripps Pier",-0.8,1.89,0,6
"Seaside Reef",7.9,2.1,0,2
"Seaside Reef",7.8,1.88,0,3
"Seaside Reef",7.7,1.28,0,2
"Seaside Reef",7.6,1.58,0,2
"Seaside Reef",7.5,1.74,0,3
"Seaside Reef",7.4,1.98,0,2
"Seaside Reef",7.3,1.95,0.12,4
"Seaside Reef",7.2,1.71,0.123,10
"Seaside Reef",7.1,1.69,0.136,12
"Seaside Reef",7,1.57,0.159,18
"Seaside Reef",6.9,1.57,0.194,12
"Seaside Reef",6.8,1.68,0.121,18
"Seaside Reef",6.7,1.8,0.068,12
"Seaside Reef",6.6,1.98,0.107,12
"Seaside Reef",6.5,2.12,0.149,18
"Seaside Reef",6.4,2.1,0.101,12
"Seaside Reef",6.3,2.01,0.054,18
"Seaside Reef",6.2,1.93,0.1,12
"Seaside Reef",6.1,1.84,0.16,12
"Seaside Reef",6,1.69,0.093,18
"Seaside Reef",5.9,1.57,0.137,12
"Seaside Reef",5.8,1.67,0.119,18
"Seaside Reef",5.7,1.74,0.158,12
"Seaside Reef",5.6,1.9,0.174,12
"Seaside Reef",5.5,2.08,0.197,18
"Seaside Reef",5.4,2.07,0.152,12
"Seaside Reef",5.3,1.98,0.122,18
"Seaside Reef",5.2,1.85,0.075,12
"Seaside Reef",5.1,1.84,0.108,12
"Seaside Reef",5,1.65,0.088,18
"Seaside Reef",4.9,1.55,0.08,12
"Seaside Reef",4.8,1.6,0.082,18
"Seaside Reef",4.7,1.79,0.106,12
"Seaside Reef",4.6,2.02,0.083,12
"Seaside Reef",4.5,2.1,0.067,18
"Seaside Reef",4.4,2.11,0.061,12
"Seaside Reef",4.3,2.06,0.069,18
"Seaside Reef",4.2,1.88,0.053,12
"Seaside Reef",4.1,1.77,0.049,12
"Seaside Reef",4,1.67,0.065,18
"Seaside Reef",3.9,1.61,0.068,12
"Seaside Reef",3.8,1.6,0.12,18
"Seaside Reef",3.7,1.79,0.1,12
"Seaside Reef",3.6,1.95,0.143,12
"Seaside Reef",3.5,2.13,0.096,18
"Seaside Reef",3.4,2.16,0.094,12
"Seaside Reef",3.3,2.12,0.101,18
"Seaside Reef",3.2,1.98,0.051,12
"Seaside Reef",3.1,1.82,0.044,12
"Seaside Reef",3,1.65,0.064,18
"Seaside Reef",2.9,1.6,0.101,12
"Seaside Reef",2.8,1.57,0.116,18
"Seaside Reef",2.7,1.8,0.083,12
"Seaside Reef",2.6,2,0.114,12
"Seaside Reef",2.5,2.15,0.088,18
"Seaside Reef",2.4,2.16,0.043,12
"Seaside Reef",2.3,2.2,0.048,18
"Seaside Reef",2.2,2.01,0.051,12
"Seaside Reef",2.1,1.89,0.049,12
"Seaside Reef",2,1.69,0.044,18
"Seaside Reef",1.9,1.6,0.031,12
"Seaside Reef",1.8,1.67,0.087,18
"Seaside Reef",1.7,1.8,0.157,12
"Seaside Reef",1.6,1.99,0.101,12
"Seaside Reef",1.5,2.14,0.071,18
"Seaside Reef",1.4,2.18,0.088,12
"Seaside Reef",1.3,2.22,0.065,18
"Seaside Reef",1.2,1.98,0.074,12
"Seaside Reef",1.1,1.83,0.041,12
"Seaside Reef",1,1.68,0.039,18
"Seaside Reef",0.9,1.59,0.077,12
"Seaside Reef",0.8,1.67,0.081,18
"Seaside Reef",0.7,1.79,0.174,12
"Seaside Reef",0.6,1.97,0.147,12
"Seaside Reef",0.5,2.07,0.104,18
"Seaside Reef",0.4,2.06,0.069,12
"Seaside Reef",0.3,2.05,0.081,18
"Seaside Reef",0.2,1.83,0.02,12
"Seaside Reef",0.1,1.71,0,12
"Seaside Reef",0,1.59,0,18
"Seaside Reef",-0.1,1.38,0,10
"Seaside Reef",-0.2,1.42,0,10
"Seaside Reef",-0.3,1.66,0,15
"Seaside Reef",-0.4,1.78,0,10
"Seaside Reef",-0.5,1.91,0,15
"Seaside Reef",-0.6,1.98,0,10
"Seaside Reef",-0.7,1.95,0,10
"Seaside Reef",-0.8,2.08,0,6
"Swamis",7.9,2.03,0,2
"Swamis",7.8,1.8,0,3
"Swamis",7.7,1.24,0,2
"Swamis",7.6,1.53,0,2
"Swamis",7.5,1.72,0,3
"Swamis",7.4,1.98,0,2
"Swamis",7.3,1.91,0.135,4
"Swamis",7.2,1.62,0.118,10
"Swamis",7.1,1.62,0.137,12
"Swamis",7,1.52,0.166,18
"Swamis",6.9,1.53,0.202,12
"Swamis",6.8,1.63,0.122,18
"Swamis",6.7,1.78,0.076,12
"Swamis",6.6,1.97,0.104,12
"Swamis",6.5,2.1,0.141,18
"Swamis",6.4,2.06,0.075,12
"Swamis",6.3,1.95,0.062,18
"Swamis",6.2,1.82,0.071,12
"Swamis",6.1,1.75,0.099,12
"Swamis",6,1.63,0.091,18
"Swamis",5.9,1.54,0.148,12
"Swamis",5.8,1.63,0.117,18
"Swamis",5.7,1.71,0.143,12
"Swamis",5.6,1.89,0.173,12
"Swamis",5.5,2.05,0.203,18
"Swamis",5.4,2.06,0.165,12
"Swamis",5.3,1.95,0.124,18
"Swamis",5.2,1.78,0.1,12
"Swamis",5.1,1.78,0.126,12
"Swamis",5,1.62,0.09,18
"Swamis",4.9,1.51,0.087,12
"Swamis",4.8,1.56,0.087,18
"Swamis",4.7,1.77,0.093,12
"Swamis",4.6,1.99,0.062,12
"Swamis",4.5,2.09,0.04,18
"Swamis",4.4,2.11,0.059,12
"Swamis",4.3,2.03,0.084,18
"Swamis",4.2,1.78,0.063,12
"Swamis",4.1,1.7,0.031,12
"Swamis",4,1.63,0.058,18
"Swamis",3.9,1.56,0.068,12
"Swamis",3.8,1.56,0.124,18
"Swamis",3.7,1.75,0.125,12
"Swamis",3.6,1.92,0.16,12
"Swamis",3.5,2.12,0.075,18
"Swamis",3.4,2.13,0.083,12
"Swamis",3.3,2.11,0.099,18
"Swamis",3.2,1.91,0.05,12
"Swamis",3.1,1.73,0.028,12
"Swamis",3,1.6,0.049,18
"Swamis",2.9,1.57,0.098,12
"Swamis",2.8,1.54,0.109,18
"Swamis",2.7,1.76,0.07,12
"Swamis",2.6,1.96,0.087,12
"Swamis",2.5,2.12,0.07,18
"Swamis",2.4,2.14,0.032,12
"Swamis",2.3,2.15,0.062,18
"Swamis",2.2,1.9,0.053,12
"Swamis",2.1,1.79,0.023,12
"Swamis",2,1.65,0.034,18
"Swamis",1.9,1.53,0.029,12
"Swamis",1.8,1.61,0.086,18
"Swamis",1.7,1.74,0.106,12
"Swamis",1.6,1.93,0.079,12
"Swamis",1.5,2.07,0.07,18
"Swamis",1.4,2.18,0.064,12
"Swamis",1.3,2.19,0.065,18
"Swamis",1.2,1.92,0.076,12
"Swamis",1.1,1.77,0.063,12
"Swamis",1,1.64,0.037,18
"Swamis",0.9,1.55,0.071,12
"Swamis",0.8,1.65,0.079,18
"Swamis",0.7,1.78,0.158,12
"Swamis",0.6,1.91,0.156,12
"Swamis",0.5,2.02,0.092,18
"Swamis",0.4,2.08,0.065,12
"Swamis",0.3,2.04,0.115,18
"Swamis",0.2,1.78,0.014,12
"Swamis",0.1,1.66,0,12
"Swamis",0,1.57,0,18
"Swamis",-0.1,1.38,0,10
"Swamis",-0.2,1.41,0,10
"Swamis",-0.3,1.66,0,15
"Swamis",-0.4,1.75,0,10
"Swamis",-0.5,1.85,0,15
"Swamis",-0.6,1.96,0,10
"Swamis",-0.7,1.96,0,10
"Swamis",-0.8,2.04,0,6
"Tamarack",7.9,2,0,2
"Tamarack",7.8,1.82,0,3
"Tamarack",7.7,1.24,0,2
"Tamarack",7.6,1.37,0,2
"Tamarack",7.5,1.54,0,3
"Tamarack",7.4,1.89,0,2
"Tamarack",7.3,1.88,0.088,4
"Tamarack",7.2,1.68,0.081,10
"Tamarack",7.1,1.67,0.065,12
"Tamarack",7,1.51,0.115,18
"Tamarack",6.9,1.48,0.113,12
"Tamarack",6.8,1.59,0.092,18
"Tamarack",6.7,1.72,0.189,12
"Tamarack",6.6,1.84,0.187,12
"Tamarack",6.5,2,0.111,18
"Tamarack",6.4,2.05,0.03,12
"Tamarack",6.3,1.99,0.046,18
"Tamarack",6.2,1.85,0.045,12
"Tamarack",6.1,1.75,0.148,12
"Tamarack",6,1.58,0.098,18
"Tamarack",5.9,1.51,0.056,12
"Tamarack",5.8,1.59,0.078,18
"Tamarack",5.7,1.71,0.157,12
"Tamarack",5.6,1.89,0.161,12
"Tamarack",5.5,2.01,0.222,18
"Tamarack",5.4,2.08,0.223,12
"Tamarack",5.3,1.96,0.103,18
"Tamarack",5.2,1.8,0.112,12
"Tamarack",5.1,1.71,0.112,12
"Tamarack",5,1.53,0.09,18
"Tamarack",4.9,1.47,0.084,12
"Tamarack",4.8,1.53,0.049,18
"Tamarack",4.7,1.73,0.098,12
"Tamarack",4.6,1.96,0.094,12
"Tamarack",4.5,2.08,0.045,18
"Tamarack",4.4,2.07,0.103,12
"Tamarack",4.3,1.98,0.077,18
"Tamarack",4.2,1.78,0.08,12
"Tamarack",4.1,1.66,0.058,12
"Tamarack",4,1.61,0.075,18
"Tamarack",3.9,1.59,0.065,12
"Tamarack",3.8,1.59,0.123,18
"Tamarack",3.7,1.82,0.098,12
"Tamarack",3.6,1.95,0.124,12
"Tamarack",3.5,2.05,0.116,18
"Tamarack",3.4,2.11,0.034,12
"Tamarack",3.3,2.08,0.04,18
"Tamarack",3.2,1.89,0.045,12
"Tamarack",3.1,1.71,0.029,12
"Tamarack",3,1.61,0.054,18
"Tamarack",2.9,1.58,0.07,12
"Tamarack",2.8,1.56,0.127,18
"Tamarack",2.7,1.77,0.038,12
"Tamarack",2.6,1.95,0.063,12
"Tamarack",2.5,2.09,0.062,18
"Tamarack",2.4,2.11,0.066,12
"Tamarack",2.3,2.13,0.053,18
"Tamarack",2.2,1.93,0.044,12
"Tamarack",2.1,1.85,0.072,12
"Tamarack",2,1.65,0.056,18
"Tamarack",1.9,1.52,0.037,12
"Tamarack",1.8,1.63,0.106,18
"Tamarack",1.7,1.79,0.053,12
"Tamarack",1.6,1.9,0.04,12
"Tamarack",1.5,2.04,0.061,18
"Tamarack",1.4,2.1,0.049,12
"Tamarack",1.3,2.08,0.068,18
"Tamarack",1.2,1.89,0.078,12
"Tamarack",1.1,1.76,0.051,12
"Tamarack",1,1.61,0.037,18
"Tamarack",0.9,1.59,0.05,12
"Tamarack",0.8,1.62,0.074,18
"Tamarack",0.7,1.79,0.113,12
"Tamarack",0.6,2,0.079,12
"Tamarack",0.5,2.04,0.078,18
"Tamarack",0.4,2.05,0.088,12
"Tamarack",0.3,1.96,0.112,18
"Tamarack",0.2,1.81,0.005,12
"Tamarack",0.1,1.67,0,12
"Tamarack",0,1.54,0,18
"Tamarack",-0.1,1.39,0,10
"Tamarack",-0.2,1.4,0,10
"Tamarack",-0.3,1.64,0,15
"Tamarack",-0.4,1.88,0,10
"Tamarack",-0.5,1.9,0,15
"Tamarack",-0.6,1.96,0,10
"Tamarack",-0.7,1.93,0,10
"Tamarack",-0.8,1.99,0,6
"Terramar",7.9,1.95,0,2
"Terramar",7.8,1.73,0,3
"Terramar",7.7,1.19,0,2
"Terramar",7.6,1.31,0,2
"Terramar",7.5,1.52,0,3
"Terramar",7.4,1.9,0,2
"Terramar",7.3,1.87,0.093,4
"Terramar",7.2,1.58,0.095,10
"Terramar",7.1,1.6,0.086,12
"Terramar",7,1.44,0.136,18
"Terramar",6.9,1.44,0.118,12
"Terramar",6.8,1.55,0.092,18
"Terramar",6.7,1.7,0.18,12
"Terramar",6.6,1.86,0.162,12
"Terramar",6.5,2,0.099,18
"Terramar",6.4,2.05,0.068,12
"Terramar",6.3,1.92,0.052,18
"Terramar",6.2,1.75,0.042,12
"Terramar",6.1,1.67,0.147,12
"Terramar",6,1.5,0.119,18
"Terramar",5.9,1.48,0.07,12
"Terramar",5.8,1.58,0.094,18
"Terramar",5.7,1.71,0.158,12
"Terramar",5.6,1.91,0.128,12
"Terramar",5.5,2.05,0.227,18
"Terramar",5.4,2.12,0.257,12
"Terramar",5.3,1.96,0.135,18
"Terramar",5.2,1.75,0.111,12
"Terramar",5.1,1.67,0.111,12
"Terramar",5,1.48,0.116,18
"Terramar",4.9,1.42,0.081,12
"Terramar",4.8,1.49,0.058,18
"Terramar",4.7,1.73,0.092,12
"Terramar",4.6,1.98,0.065,12
"Terramar",4.5,2.08,0.052,18
"Terramar",4.4,2.05,0.119,12
"Terramar",4.3,1.96,0.087,18
"Terramar",4.2,1.76,0.115,12
"Terramar",4.1,1.6,0.062,12
"Terramar",4,1.57,0.063,18
"Terramar",3.9,1.54,0.071,12
"Terramar",3.8,1.56,0.139,18
"Terramar",3.7,1.76,0.078,12
"Terramar",3.6,1.95,0.119,12
"Terramar",3.5,2.09,0.077,18
"Terramar",3.4,2.14,0.041,12
"Terramar",3.3,2.11,0.048,18
"Terramar",3.2,1.82,0.041,12
"Terramar",3.1,1.66,0.049,12
"Terramar",3,1.57,0.057,18
"Terramar",2.9,1.53,0.068,12
"Terramar",2.8,1.54,0.138,18
"Terramar",2.7,1.74,0.049,12
"Terramar",2.6,1.92,0.071,12
"Terramar",2.5,2.11,0.05,18
"Terramar",2.4,2.14,0.049,12
"Terramar",2.3,2.14,0.063,18
"Terramar",2.2,1.92,0.087,12
"Terramar",2.1,1.79,0.049,12
"Terramar",2,1.62,0.043,18
"Terramar",1.9,1.49,0.03,12
"Terramar",1.8,1.61,0.115,18
"Terramar",1.7,1.81,0.065,12
"Terramar",1.6,1.91,0.053,12
"Terramar",1.5,2.04,0.033,18
"Terramar",1.4,2.17,0.04,12
"Terramar",1.3,2.11,0.071,18
"Terramar",1.2,1.84,0.086,12
"Terramar",1.1,1.71,0.043,12
"Terramar",1,1.57,0.038,18
"Terramar",0.9,1.55,0.051,12
"Terramar",0.8,1.61,0.098,18
"Terramar",0.7,1.77,0.13,12
"Terramar",0.6,1.93,0.041,12
"Terramar",0.5,2.02,0.079,18
"Terramar",0.4,2.06,0.065,12
"Terramar",0.3,1.98,0.104,18
"Terramar",0.2,1.75,0.014,12
"Terramar",0.1,1.62,0,12
"Terramar",0,1.49,0,18
"Terramar",-0.1,1.36,0,10
"Terramar",-0.2,1.37,0,10
"Terramar",-0.3,1.64,0,15
"Terramar",-0.4,1.85,0,10
"Terramar",-0.5,1.93,0,15
"Terramar",-0.6,2,0,10
"Terramar",-0.7,2,0,10
"Terramar",-0.8,2.1,0,6
"Tourmaline",7.9,1.55,0,2
"Tourmaline",7.8,1.24,0,3
"Tourmaline",7.7,1.2,0,2
"Tourmaline",7.6,1.18,0,2
"Tourmaline",7.5,1.21,0,3
"Tourmaline",7.4,1.47,0,2
"Tourmaline",7.3,1.61,0.053,4
"Tourmaline",7.2,1.41,0.089,10
"Tourmaline",7.1,1.42,0.107,12
"Tourmaline",7,1.34,0.099,18
"Tourmaline",6.9,1.33,0.103,12
"Tourmaline",6.8,1.37,0.125,18
"Tourmaline",6.7,1.5,0.143,12
"Tourmaline",6.6,1.6,0.206,12
"Tourmaline",6.5,1.67,0.109,18
"Tourmaline",6.4,1.73,0.129,12
"Tourmaline",6.3,1.65,0.109,18
"Tourmaline",6.2,1.51,0.128,12
"Tourmaline",6.1,1.42,0.107,12
"Tourmaline",6,1.33,0.081,18
"Tourmaline",5.9,1.31,0.074,12
"Tourmaline",5.8,1.37,0.107,18
"Tourmaline",5.7,1.45,0.182,12
"Tourmaline",5.6,1.51,0.254,12
"Tourmaline",5.5,1.67,0.212,18
"Tourmaline",5.4,1.68,0.23,12
"Tourmaline",5.3,1.63,0.188,18
"Tourmaline",5.2,1.55,0.079,12
"Tourmaline",5.1,1.51,0.098,12
"Tourmaline",5,1.38,0.063,18
"Tourmaline",4.9,1.36,0.048,12
"Tourmaline",4.8,1.44,0.077,18
"Tourmaline",4.7,1.59,0.07,12
"Tourmaline",4.6,1.78,0.048,12
"Tourmaline",4.5,1.85,0.058,18
"Tourmaline",4.4,1.85,0.096,12
"Tourmaline",4.3,1.76,0.103,18
"Tourmaline",4.2,1.62,0.057,12
"Tourmaline",4.1,1.55,0.034,12
"Tourmaline",4,1.5,0.095,18
"Tourmaline",3.9,1.46,0.067,12
"Tourmaline",3.8,1.55,0.089,18
"Tourmaline",3.7,1.64,0.081,12
"Tourmaline",3.6,1.8,0.062,12
"Tourmaline",3.5,1.88,0.067,18
"Tourmaline",3.4,1.94,0.064,12
"Tourmaline",3.3,1.88,0.055,18
"Tourmaline",3.2,1.65,0.043,12
"Tourmaline",3.1,1.53,0.047,12
"Tourmaline",3,1.42,0.081,18
"Tourmaline",2.9,1.36,0.106,12
"Tourmaline",2.8,1.45,0.084,18
"Tourmaline",2.7,1.65,0.088,12
"Tourmaline",2.6,1.79,0.036,12
"Tourmaline",2.5,1.91,0.067,18
"Tourmaline",2.4,1.98,0.066,12
"Tourmaline",2.3,1.98,0.079,18
"Tourmaline",2.2,1.74,0.049,12
"Tourmaline",2.1,1.62,0.027,12
"Tourmaline",2,1.48,0.069,18
"Tourmaline",1.9,1.32,0.116,12
"Tourmaline",1.8,1.4,0.094,18
"Tourmaline",1.7,1.65,0.078,12
"Tourmaline",1.6,1.81,0.043,12
"Tourmaline",1.5,1.91,0.046,18
"Tourmaline",1.4,1.95,0.098,12
"Tourmaline",1.3,1.93,0.068,18
"Tourmaline",1.2,1.69,0.059,12
"Tourmaline",1.1,1.61,0.053,12
"Tourmaline",1,1.5,0.037,18
"Tourmaline",0.9,1.44,0.044,12
"Tourmaline",0.8,1.44,0.058,18
"Tourmaline",0.7,1.59,0.095,12
"Tourmaline",0.6,1.79,0.08,12
"Tourmaline",0.5,1.88,0.05,18
"Tourmaline",0.4,1.89,0.11,12
"Tourmaline",0.3,1.79,0.144,18
"Tourmaline",0.2,1.67,0.018,12
"Tourmaline",0.1,1.54,0,12
"Tourmaline",0,1.47,0,18
"Tourmaline",-0.1,1.32,0,10
"Tourmaline",-0.2,1.32,0,10
"Tourmaline",-0.3,1.54,0,15
"Tourmaline",-0.4,1.65,0,10
"Tourmaline",-0.5,1.73,0,15
"Tourmaline",-0.6,1.82,0,10
"Tourmaline",-0.7,1.87,0,10
"Tourmaline",-0.8,1.99,0,6
"Windansea",7.9,1.63,0,2
"Windansea",7.8,1.35,0,3
"Windansea",7.7,1.28,0,2
"Windansea",7.6,1.4,0,2
"Windansea",7.5,1.5,0,3
"Windansea",7.4,1.75,0,2
"Windansea",7.3,1.8,0.068,4
"Windansea",7.2,1.5,0.106,10
"Windansea",7.1,1.5,0.144,12
"Windansea",7,1.49,0.124,18
"Windansea",6.9,1.5,0.106,12
"Windansea",6.8,1.54,0.174,18
"Windansea",6.7,1.72,0.199,12
"Windansea",6.6,1.84,0.293,12
"Windansea",6.5,1.92,0.161,18
"Windansea",6.4,1.96,0.139,12
"Windansea",6.3,1.72,0.113,18
"Windansea",6.2,1.59,0.14,12
"Windansea",6.1,1.51,0.11,12
"Windansea",6,1.51,0.098,18
"Windansea",5.9,1.52,0.09,12
"Windansea",5.8,1.57,0.13,18
"Windansea",5.7,1.71,0.198,12
"Windansea",5.6,1.87,0.234,12
"Windansea",5.5,1.97,0.281,18
"Windansea",5.4,2,0.228,12
"Windansea",5.3,1.8,0.164,18
"Windansea",5.2,1.72,0.088,12
"Windansea",5.1,1.69,0.123,12
"Windansea",5,1.57,0.074,18
"Windansea",4.9,1.59,0.053,12
"Windansea",4.8,1.64,0.06,18
"Windansea",4.7,1.72,0.113,12
"Windansea",4.6,2.06,0.061,12
"Windansea",4.5,2.12,0.084,18
"Windansea",4.4,2.16,0.108,12
"Windansea",4.3,1.95,0.11,18
"Windansea",4.2,1.75,0.069,12
"Windansea",4.1,1.72,0.031,12
"Windansea",4,1.68,0.072,18
"Windansea",3.9,1.67,0.061,12
"Windansea",3.8,1.76,0.079,18
"Windansea",3.7,1.81,0.083,12
"Windansea",3.6,1.97,0.064,12
"Windansea",3.5,2.14,0.093,18
"Windansea",3.4,2.2,0.087,12
"Windansea",3.3,2.06,0.075,18
"Windansea",3.2,1.78,0.054,12
"Windansea",3.1,1.66,0.058,12
"Windansea",3,1.57,0.091,18
"Windansea",2.9,1.62,0.138,12
"Windansea",2.8,1.66,0.088,18
"Windansea",2.7,1.74,0.063,12
"Windansea",2.6,1.89,0.042,12
"Windansea",2.5,2.1,0.089,18
"Windansea",2.4,2.14,0.069,12
"Windansea",2.3,2.12,0.087,18
"Windansea",2.2,1.82,0.062,12
"Windansea",2.1,1.72,0.034,12
"Windansea",2,1.61,0.064,18
"Windansea",1.9,1.55,0.127,12
"Windansea",1.8,1.61,0.112,18
"Windansea",1.7,1.73,0.086,12
"Windansea",1.6,1.88,0.045,12
"Windansea",1.5,2.08,0.069,18
"Windansea",1.4,2.1,0.12,12
"Windansea",1.3,2.08,0.082,18
"Windansea",1.2,1.77,0.058,12
"Windansea",1.1,1.68,0.044,12
"Windansea",1,1.61,0.036,18
"Windansea",0.9,1.64,0.074,12
"Windansea",0.8,1.7,0.062,18
"Windansea",0.7,1.75,0.115,12
"Windansea",0.6,1.83,0.11,12
"Windansea",0.5,2.01,0.08,18
"Windansea",0.4,2.08,0.093,12
"Windansea",0.3,1.95,0.156,18
"Windansea",0.2,1.76,0.034,12
"Windansea",0.1,1.63,0,12
"Windansea",0,1.59,0,18
"Windansea",-0.1,1.56,0,10
"Windansea",-0.2,1.6,0,10
"Windansea",-0.3,1.72,0,15
"Windansea",-0.4,1.67,0,10
"Windansea",-0.5,1.8,0,15
"Windansea",-0.6,2.04,0,10
"Windansea",-0.7,2.11,0,10
"Windansea",-0.8,2.13,0,6
